path,correlation,selectivity,n_filter,k,recall,mean_returned,p50_ms,daemon_search_mode,n_queries
3O,anti,0.005,5000,10,0.0,0.2,8.719,cagra_prefilter,200
D-wedge,anti,0.005,5000,10,0.9995,10.0,22.9,stream_bf,200
stream_bf,anti,0.005,5000,10,0.998,10.0,18.72,stream_bf,200
3O,anti,0.002,2000,10,0.0,0.14,5.166,cagra_prefilter,200
D-wedge,anti,0.002,2000,10,1.0,10.0,13.319,stream_bf,200
stream_bf,anti,0.002,2000,10,1.0,10.0,8.84,stream_bf,200
3O,anti,0.001,1000,10,0.0005,0.14,4.318,cagra_prefilter,200
D-wedge,anti,0.001,1000,10,1.0,10.0,9.678,stream_bf,200
stream_bf,anti,0.001,1000,10,1.0,10.0,4.501,stream_bf,200
3O,anti,0.0005,500,10,0.0,0.08,3.225,cagra_prefilter,200
D-wedge,anti,0.0005,500,10,1.0,10.0,9.016,stream_bf,200
stream_bf,anti,0.0005,500,10,1.0,10.0,2.513,stream_bf,200
3O,anti,0.0002,200,10,0.0,0.04,2.762,cagra_prefilter,200
D-wedge,anti,0.0002,200,10,1.0,10.0,12.72,stream_bf,200
stream_bf,anti,0.0002,200,10,1.0,10.0,1.355,stream_bf,200
3O,anti,0.0001,100,10,0.0005,0.03,2.578,cagra_prefilter,200
D-wedge,anti,0.0001,100,10,1.0,10.0,20.552,stream_bf,200
stream_bf,anti,0.0001,100,10,1.0,10.0,1.062,stream_bf,200
3O,random,0.005,5000,10,0.9945,10.0,2.388,cagra_prefilter,200
D-wedge,random,0.005,5000,10,1.0,10.0,3.588,brute_force,200
stream_bf,random,0.005,5000,10,1.0,10.0,14.082,stream_bf,200
3O,random,0.002,2000,10,0.9945,10.0,2.28,cagra_prefilter,200
D-wedge,random,0.002,2000,10,1.0,10.0,3.811,brute_force,200
stream_bf,random,0.002,2000,10,1.0,10.0,6.128,stream_bf,200
3O,random,0.001,1000,10,0.9895,9.99,2.531,cagra_prefilter,200
D-wedge,random,0.001,1000,10,1.0,10.0,4.385,"MIXED:brute_forcex198,stream_bfx2",200
stream_bf,random,0.001,1000,10,1.0,10.0,3.247,stream_bf,200
3O,random,0.0005,500,10,0.8635,9.93,2.439,cagra_prefilter,200
D-wedge,random,0.0005,500,10,1.0,10.0,5.379,brute_force,200
stream_bf,random,0.0005,500,10,1.0,10.0,1.837,stream_bf,200
3O,random,0.0002,200,10,0.47,6.65,2.404,cagra_prefilter,200
D-wedge,random,0.0002,200,10,1.0,10.0,8.694,"MIXED:brute_forcex199,stream_bfx1",200
stream_bf,random,0.0002,200,10,1.0,10.0,1.059,stream_bf,200
3O,random,0.0001,100,10,0.282,3.37,2.373,cagra_prefilter,200
D-wedge,random,0.0001,100,10,1.0,10.0,15.215,brute_force,200
stream_bf,random,0.0001,100,10,1.0,10.0,0.78,stream_bf,200
3O,mixed,0.005,5000,10,1.0,10.0,8.692,cagra_prefilter,200
D-wedge,mixed,0.005,5000,10,1.0,10.0,9.459,brute_force,200
stream_bf,mixed,0.005,5000,10,1.0,10.0,17.715,stream_bf,200
3O,mixed,0.002,2000,10,1.0,10.0,5.098,cagra_prefilter,200
D-wedge,mixed,0.002,2000,10,1.0,10.0,5.546,brute_force,200
stream_bf,mixed,0.002,2000,10,1.0,10.0,7.635,stream_bf,200
3O,mixed,0.001,1000,10,1.0,10.0,4.051,cagra_prefilter,200
D-wedge,mixed,0.001,1000,10,1.0,10.0,4.493,brute_force,200
stream_bf,mixed,0.001,1000,10,1.0,10.0,4.271,stream_bf,200
3O,mixed,0.0005,500,10,1.0,10.0,3.168,cagra_prefilter,200
D-wedge,mixed,0.0005,500,10,1.0,10.0,4.24,brute_force,200
stream_bf,mixed,0.0005,500,10,1.0,10.0,2.327,stream_bf,200
3O,mixed,0.0002,200,10,1.0,10.0,2.643,cagra_prefilter,200
D-wedge,mixed,0.0002,200,10,1.0,10.0,5.296,brute_force,200
stream_bf,mixed,0.0002,200,10,1.0,10.0,1.288,stream_bf,200
3O,mixed,0.0001,100,10,1.0,10.0,2.496,cagra_prefilter,200
D-wedge,mixed,0.0001,100,10,1.0,10.0,7.501,brute_force,200
stream_bf,mixed,0.0001,100,10,1.0,10.0,0.968,stream_bf,200
3O,spatial,0.005,5000,10,1.0,10.0,8.209,cagra_prefilter,200
D-wedge,spatial,0.005,5000,10,1.0,10.0,9.017,brute_force,200
stream_bf,spatial,0.005,5000,10,1.0,10.0,17.362,stream_bf,200
3O,spatial,0.002,2000,10,1.0,10.0,5.0,cagra_prefilter,200
D-wedge,spatial,0.002,2000,10,1.0,10.0,5.572,brute_force,200
stream_bf,spatial,0.002,2000,10,1.0,10.0,7.451,stream_bf,200
3O,spatial,0.001,1000,10,1.0,10.0,4.131,cagra_prefilter,200
D-wedge,spatial,0.001,1000,10,1.0,10.0,4.569,brute_force,200
stream_bf,spatial,0.001,1000,10,1.0,10.0,4.376,stream_bf,200
3O,spatial,0.0005,500,10,1.0,10.0,3.08,cagra_prefilter,200
D-wedge,spatial,0.0005,500,10,1.0,10.0,4.255,brute_force,200
stream_bf,spatial,0.0005,500,10,1.0,10.0,2.4,stream_bf,200
3O,spatial,0.0002,200,10,1.0,10.0,2.638,cagra_prefilter,200
D-wedge,spatial,0.0002,200,10,1.0,10.0,5.334,brute_force,200
stream_bf,spatial,0.0002,200,10,1.0,10.0,1.34,stream_bf,200
3O,spatial,0.0001,100,10,1.0,10.0,2.492,cagra_prefilter,200
