path,correlation,selectivity,n_filter,k,recall,mean_returned,p50_ms,daemon_search_mode,n_queries
3O,random,0.5,500000,10,0.9895,10.0,54.24,cagra_prefilter,200
D-wedge,random,0.5,500000,10,1.0,10.0,44.981,brute_force,200
stream_bf,random,0.5,500000,10,1.0,10.0,904.643,stream_bf,200
3O,random,0.1,100000,10,0.996,10.0,12.042,cagra_prefilter,200
D-wedge,random,0.1,100000,10,1.0,10.0,9.945,brute_force,200
stream_bf,random,0.1,100000,10,1.0,10.0,241.304,stream_bf,200
3O,random,0.05,50000,10,0.997,10.0,7.572,cagra_prefilter,200
D-wedge,random,0.05,50000,10,1.0,10.0,6.16,brute_force,200
stream_bf,random,0.05,50000,10,1.0,10.0,128.91,stream_bf,200
3O,random,0.01,10000,10,0.9975,10.0,3.111,cagra_prefilter,200
D-wedge,random,0.01,10000,10,1.0,10.0,3.737,"MIXED:brute_forcex199,stream_bfx1",200
stream_bf,random,0.01,10000,10,1.0,10.0,23.504,stream_bf,200
3O,random,0.005,5000,10,0.994,10.0,2.445,cagra_prefilter,200
D-wedge,random,0.005,5000,10,1.0,10.0,3.576,brute_force,200
stream_bf,random,0.005,5000,10,1.0,10.0,14.334,stream_bf,200
3O,random,0.001,1000,10,0.9855,9.99,2.633,cagra_prefilter,200
D-wedge,random,0.001,1000,10,1.0,10.0,4.377,"MIXED:brute_forcex198,stream_bfx2",200
stream_bf,random,0.001,1000,10,1.0,10.0,3.221,stream_bf,200
