path,correlation,selectivity,n_filter,k,recall,mean_returned,p50_ms,daemon_search_mode,n_queries
3O,anti,0.5,500000,10,0.0,2.02,955.012,cagra_prefilter,200
D-wedge,anti,0.5,500000,10,0.9885,10.0,1790.654,stream_bf,200
stream_bf,anti,0.5,500000,10,0.989,10.0,1879.169,stream_bf,200
3O,anti,0.3,300000,10,0.0,1.48,554.706,cagra_prefilter,200
D-wedge,anti,0.3,300000,10,0.9945,10.0,1163.497,stream_bf,200
stream_bf,anti,0.3,300000,10,0.9935,10.0,1140.181,stream_bf,200
3O,anti,0.1,100000,10,0.0,0.51,140.326,cagra_prefilter,200
D-wedge,anti,0.1,100000,10,0.9955,10.0,372.656,stream_bf,200
stream_bf,anti,0.1,100000,10,0.997,10.0,375.773,stream_bf,200
3O,anti,0.05,50000,10,0.0,0.46,70.146,cagra_prefilter,200
D-wedge,anti,0.05,50000,10,0.9945,10.0,193.841,stream_bf,200
stream_bf,anti,0.05,50000,10,0.995,10.0,185.09,stream_bf,200
3O,anti,0.02,20000,10,0.0,0.29,28.328,cagra_prefilter,200
D-wedge,anti,0.02,20000,10,0.9995,10.0,90.8,stream_bf,200
stream_bf,anti,0.02,20000,10,0.9995,10.0,77.61,stream_bf,200
3O,random,0.5,500000,10,0.989,10.0,49.879,cagra_prefilter,200
D-wedge,random,0.5,500000,10,1.0,10.0,39.767,brute_force,200
stream_bf,random,0.5,500000,10,1.0,10.0,905.3,stream_bf,200
3O,random,0.3,300000,10,0.993,10.0,30.964,cagra_prefilter,200
D-wedge,random,0.3,300000,10,1.0,10.0,23.381,brute_force,200
stream_bf,random,0.3,300000,10,1.0,10.0,661.957,stream_bf,200
3O,random,0.1,100000,10,0.996,10.0,12.159,cagra_prefilter,200
D-wedge,random,0.1,100000,10,1.0,10.0,9.891,brute_force,200
stream_bf,random,0.1,100000,10,1.0,10.0,251.377,stream_bf,200
3O,random,0.05,50000,10,0.997,10.0,7.53,cagra_prefilter,200
D-wedge,random,0.05,50000,10,1.0,10.0,6.185,brute_force,200
stream_bf,random,0.05,50000,10,1.0,10.0,126.186,stream_bf,200
3O,random,0.02,20000,10,0.9955,10.0,4.661,cagra_prefilter,200
D-wedge,random,0.02,20000,10,1.0,10.0,4.25,"MIXED:brute_forcex199,stream_bfx1",200
stream_bf,random,0.02,20000,10,1.0,10.0,55.314,stream_bf,200
3O,spatial,0.5,500000,10,0.995,10.0,947.26,cagra_prefilter,200
D-wedge,spatial,0.5,500000,10,1.0,10.0,931.308,brute_force,200
stream_bf,spatial,0.5,500000,10,1.0,10.0,1767.124,stream_bf,200
3O,spatial,0.3,300000,10,0.9985,10.0,534.549,cagra_prefilter,200
D-wedge,spatial,0.3,300000,10,1.0,10.0,523.468,brute_force,200
stream_bf,spatial,0.3,300000,10,1.0,10.0,1135.267,stream_bf,200
3O,spatial,0.1,100000,10,1.0,10.0,140.908,cagra_prefilter,200
D-wedge,spatial,0.1,100000,10,1.0,10.0,137.562,brute_force,200
stream_bf,spatial,0.1,100000,10,1.0,10.0,367.351,stream_bf,200
3O,spatial,0.05,50000,10,1.0,10.0,68.477,cagra_prefilter,200
D-wedge,spatial,0.05,50000,10,1.0,10.0,66.324,brute_force,200
stream_bf,spatial,0.05,50000,10,1.0,10.0,183.0,stream_bf,200
3O,spatial,0.02,20000,10,1.0,10.0,28.501,cagra_prefilter,200
D-wedge,spatial,0.02,20000,10,1.0,10.0,27.632,brute_force,200
stream_bf,spatial,0.02,20000,10,1.0,10.0,87.034,stream_bf,200
