path,correlation,selectivity,query_idx,returned
3O,anti,0.05,0,10
3O,anti,0.05,1,10
3O,anti,0.05,2,10
3O,anti,0.05,3,10
3O,anti,0.05,4,10
3O,anti,0.05,5,10
3O,anti,0.05,6,10
3O,anti,0.05,7,10
3O,anti,0.05,8,10
3O,anti,0.05,9,10
3O,anti,0.05,10,10
3O,anti,0.05,11,10
3O,anti,0.05,12,10
3O,anti,0.05,13,10
3O,anti,0.05,14,10
3O,anti,0.05,15,10
3O,anti,0.05,16,10
3O,anti,0.05,17,10
3O,anti,0.05,18,10
3O,anti,0.05,19,10
3O,anti,0.05,20,10
3O,anti,0.05,21,10
3O,anti,0.05,22,10
3O,anti,0.05,23,10
3O,anti,0.05,24,10
3O,anti,0.05,25,10
3O,anti,0.05,26,10
3O,anti,0.05,27,10
3O,anti,0.05,28,10
3O,anti,0.05,29,10
3O,anti,0.05,30,10
3O,anti,0.05,31,10
3O,anti,0.05,32,10
3O,anti,0.05,33,10
3O,anti,0.05,34,10
3O,anti,0.05,35,10
3O,anti,0.05,36,10
3O,anti,0.05,37,10
3O,anti,0.05,38,10
3O,anti,0.05,39,10
3O,anti,0.05,40,10
3O,anti,0.05,41,10
3O,anti,0.05,42,10
3O,anti,0.05,43,10
3O,anti,0.05,44,10
3O,anti,0.05,45,10
3O,anti,0.05,46,10
3O,anti,0.05,47,10
3O,anti,0.05,48,10
3O,anti,0.05,49,10
3O,anti,0.05,50,10
3O,anti,0.05,51,10
3O,anti,0.05,52,10
3O,anti,0.05,53,10
3O,anti,0.05,54,10
3O,anti,0.05,55,10
3O,anti,0.05,56,10
3O,anti,0.05,57,10
3O,anti,0.05,58,10
3O,anti,0.05,59,10
3O,anti,0.05,60,10
3O,anti,0.05,61,10
3O,anti,0.05,62,10
3O,anti,0.05,63,10
3O,anti,0.05,64,10
3O,anti,0.05,65,10
3O,anti,0.05,66,10
3O,anti,0.05,67,10
3O,anti,0.05,68,10
3O,anti,0.05,69,10
3O,anti,0.05,70,10
3O,anti,0.05,71,10
3O,anti,0.05,72,10
3O,anti,0.05,73,10
3O,anti,0.05,74,10
3O,anti,0.05,75,10
3O,anti,0.05,76,10
3O,anti,0.05,77,10
3O,anti,0.05,78,10
3O,anti,0.05,79,10
3O,anti,0.05,80,10
3O,anti,0.05,81,10
3O,anti,0.05,82,10
3O,anti,0.05,83,10
3O,anti,0.05,84,10
