algo,param,k,recall,qps,search_time_ms,p50_ms,p95_ms,p99_ms,build_time_s,index_bytes,n_queries,reused,success,error
pgcuvs_cagra,16,10,0.9743,364.0,5494.013,2.744,2.84,2.913,61.911,0,2000,False,True,
pgcuvs_cagra,32,10,0.9741,356.4,5611.52,2.8,2.942,3.001,61.911,0,2000,True,True,
pgcuvs_cagra,64,10,0.9744,363.6,5500.148,2.748,2.844,2.903,61.911,0,2000,True,True,
pgcuvs_cagra,100,10,0.9922,358.1,5584.386,2.789,2.875,2.936,61.911,0,2000,True,True,
pgcuvs_cagra,200,10,0.997,350.7,5703.618,2.846,2.946,3.007,61.911,0,2000,True,True,
pgcuvs_cagra,400,10,0.999,339.6,5888.561,2.929,3.077,3.273,61.911,0,2000,True,True,
pgvector_hnsw,10,10,0.6823,436.4,4582.757,2.271,3.001,3.285,236.553,8185143296,2000,False,True,
pgvector_hnsw,20,10,0.8037,396.4,5045.95,2.438,3.494,4.451,236.553,8185143296,2000,True,True,
pgvector_hnsw,40,10,0.8866,310.6,6438.208,3.078,4.606,5.501,236.553,8185143296,2000,True,True,
pgvector_hnsw,80,10,0.9374,216.1,9254.105,4.423,7.135,8.443,236.553,8185143296,2000,True,True,
pgvector_hnsw,120,10,0.9602,170.9,11702.127,5.544,9.339,10.848,236.553,8185143296,2000,True,True,
pgvector_hnsw,200,10,0.9764,124.3,16095.682,7.603,13.187,15.394,236.553,8185143296,2000,True,True,
pgvector_hnsw,400,10,0.9884,74.0,27009.162,12.841,22.44,25.834,236.553,8185143296,2000,True,True,
pgcuvs_hnsw_import,16,10,0.8602,241.8,8272.943,4.017,6.192,7.085,120.637,8192008192,2000,False,True,
pgcuvs_hnsw_import,32,10,0.9352,184.1,10865.881,5.269,8.194,9.268,120.637,8192008192,2000,True,True,
pgcuvs_hnsw_import,64,10,0.9755,132.1,15145.637,7.205,11.783,13.626,120.637,8192008192,2000,True,True,
pgcuvs_hnsw_import,128,10,0.9919,85.7,23345.62,11.076,18.867,21.813,120.637,8192008192,2000,True,True,
pgcuvs_hnsw_import,256,10,0.9972,51.6,38787.855,18.771,31.605,37.741,120.637,8192008192,2000,True,True,
pgcuvs_hnsw_import,512,10,0.9994,30.8,64939.569,31.15,54.876,66.638,120.637,8192008192,2000,True,True,
