algo,param,k,recall,qps,search_time_ms,p50_ms,p95_ms,p99_ms,build_time_s,index_bytes,n_queries,build_params,axis,reused,success,error,notes
pgvector_hnsw,10,10,0.6818,489.0,4090.261,1.98,2.728,3.268,118.658,4093870080,2000,"{""ef_construction"":64,""m"":16}",latency,False,True,,
pgvector_hnsw,20,10,0.7935,392.1,5100.629,2.492,3.436,4.098,118.658,4093870080,2000,"{""ef_construction"":64,""m"":16}",latency,True,True,,
pgvector_hnsw,40,10,0.8678,284.6,7027.596,3.49,4.641,5.671,118.658,4093870080,2000,"{""ef_construction"":64,""m"":16}",latency,True,True,,
pgvector_hnsw,80,10,0.9227,189.0,10579.386,5.278,7.051,8.414,118.658,4093870080,2000,"{""ef_construction"":64,""m"":16}",latency,True,True,,
pgvector_hnsw,120,10,0.9393,144.7,13818.371,6.888,9.259,10.867,118.658,4093870080,2000,"{""ef_construction"":64,""m"":16}",latency,True,True,,
pgvector_hnsw,200,10,0.9594,102.1,19581.94,9.784,13.348,15.085,118.658,4093870080,2000,"{""ef_construction"":64,""m"":16}",latency,True,True,,
pgvector_hnsw,400,10,0.9734,61.0,32761.179,16.336,22.949,25.206,118.658,4093870080,2000,"{""ef_construction"":64,""m"":16}",latency,True,True,,
pgvector_hnsw,10,10,0.6816,469.5,4260.078,2.071,2.828,3.306,189.36,4093870080,2000,"{""ef_construction"":128,""m"":16}",latency,False,True,,
pgvector_hnsw,20,10,0.7859,359.7,5559.797,2.733,3.631,4.415,189.36,4093870080,2000,"{""ef_construction"":128,""m"":16}",latency,True,True,,
pgvector_hnsw,40,10,0.8663,286.1,6991.62,3.472,4.664,5.701,189.36,4093870080,2000,"{""ef_construction"":128,""m"":16}",latency,True,True,,
pgvector_hnsw,80,10,0.9184,188.0,10641.01,5.295,7.166,8.642,189.36,4093870080,2000,"{""ef_construction"":128,""m"":16}",latency,True,True,,
pgvector_hnsw,120,10,0.9396,128.2,15601.444,7.773,10.532,12.69,189.36,4093870080,2000,"{""ef_construction"":128,""m"":16}",latency,True,True,,
pgvector_hnsw,200,10,0.961,90.1,22205.597,11.001,15.585,17.773,189.36,4093870080,2000,"{""ef_construction"":128,""m"":16}",latency,True,True,,
pgvector_hnsw,400,10,0.9804,54.0,37029.032,18.359,26.212,29.657,189.36,4093870080,2000,"{""ef_construction"":128,""m"":16}",latency,True,True,,
pgvector_hnsw,10,10,0.7819,392.0,5102.438,2.485,3.481,3.965,207.927,4096008192,2000,"{""ef_construction"":64,""m"":32}",latency,False,True,,
pgvector_hnsw,20,10,0.8608,288.1,6942.84,3.425,4.752,5.46,207.927,4096008192,2000,"{""ef_construction"":64,""m"":32}",latency,True,True,,
pgvector_hnsw,40,10,0.9149,196.0,10203.667,5.076,7.014,8.284,207.927,4096008192,2000,"{""ef_construction"":64,""m"":32}",latency,True,True,,
pgvector_hnsw,80,10,0.9485,127.0,15748.648,7.878,11.024,12.598,207.927,4096008192,2000,"{""ef_construction"":64,""m"":32}",latency,True,True,,
