algo,param,k,recall,qps,search_time_ms,p50_ms,p95_ms,p99_ms,build_time_s,index_bytes,n_queries,reused,success,error
pgcuvs_cagra,16,10,0.9804,160.4,12467.805,5.967,8.407,10.008,66.064,3328000000,2000,False,True,
pgcuvs_cagra,32,10,0.9802,159.2,12561.281,6.024,8.769,10.453,66.064,3328000000,2000,True,True,
pgcuvs_cagra,64,10,0.9803,168.7,11858.655,5.835,8.425,10.398,66.064,3328000000,2000,True,True,
pgcuvs_cagra,100,10,0.9941,154.3,12959.282,6.181,9.109,10.171,66.064,3328000000,2000,True,True,
pgcuvs_cagra,200,10,0.998,163.1,12262.288,5.946,8.391,10.197,60.887,3328000000,2000,False,True,
pgcuvs_cagra,400,10,0.9993,160.6,12451.972,6.007,8.506,9.926,60.887,3328000000,2000,True,True,
pgvector_hnsw,10,10,0.6824,199.2,10041.016,5.01,7.612,9.11,267.512,4093870080,2000,False,True,
pgvector_hnsw,20,10,0.7844,165.6,12075.79,5.65,9.489,11.883,267.512,4093870080,2000,True,True,
pgvector_hnsw,40,10,0.8538,112.1,17846.97,8.697,13.587,17.008,267.512,4093870080,2000,True,True,
pgvector_hnsw,80,10,0.902,77.7,25753.469,12.557,18.65,21.212,267.512,4093870080,2000,True,True,
pgvector_hnsw,120,10,0.9226,58.7,34085.434,16.702,24.259,28.097,267.512,4093870080,2000,True,True,
pgvector_hnsw,200,10,0.9403,40.7,49117.322,24.333,35.427,39.684,267.512,4093870080,2000,True,True,
pgvector_hnsw,400,10,0.9592,23.8,83980.175,40.991,63.503,73.577,267.512,4093870080,2000,True,True,
pgcuvs_hnsw_import,16,10,0.8701,105.0,19041.8,9.303,13.304,15.747,109.021,8192008192,2000,False,True,
pgcuvs_hnsw_import,32,10,0.9447,55.0,36392.03,17.951,23.758,26.724,117.679,8192008192,2000,False,True,
pgcuvs_hnsw_import,64,10,0.981,36.3,55160.463,27.262,36.953,41.233,118.806,8192008192,2000,False,True,
pgcuvs_hnsw_import,128,10,0.9959,20.3,98692.569,48.499,68.088,74.044,110.141,8192008192,2000,False,True,
pgcuvs_hnsw_import,256,10,0.9987,13.4,149205.201,72.779,105.415,121.006,122.134,8192008192,2000,False,True,
pgcuvs_hnsw_import,512,10,0.9997,7.2,277128.549,136.048,194.012,221.978,116.598,8192008192,2000,False,True,
