algo,param,k,recall,qps,search_time_ms,p50_ms,p95_ms,p99_ms,build_time_s,index_bytes,n_queries,reused,success,error
pgcuvs_cagra,16,10,0.9788,600.3,3331.89,1.656,2.089,2.243,32.765,3328000000,2000,False,True,
pgcuvs_cagra,32,10,0.9789,671.8,2977.137,1.46,1.671,1.85,32.765,3328000000,2000,True,True,
pgcuvs_cagra,64,10,0.9798,601.0,3328.058,1.64,1.875,2.319,31.95,3328000000,2000,False,True,
pgcuvs_cagra,100,10,0.9944,593.2,3371.502,1.545,1.871,2.365,31.95,3328000000,2000,True,True,
pgcuvs_cagra,200,10,0.998,607.5,3291.986,1.618,1.878,2.441,31.95,3328000000,2000,True,True,
pgcuvs_cagra,400,10,0.9993,573.4,3487.931,1.722,1.914,2.408,31.95,3328000000,2000,True,True,
pgvector_hnsw,10,10,0.6865,700.5,2855.21,1.368,1.947,2.431,94.455,4093870080,2000,False,True,
pgvector_hnsw,20,10,0.7924,539.4,3707.525,1.797,2.532,3.414,94.455,4093870080,2000,True,True,
pgvector_hnsw,40,10,0.8658,362.7,5514.754,2.708,3.806,4.803,94.455,4093870080,2000,True,True,
pgvector_hnsw,80,10,0.9207,245.0,8161.765,4.014,5.79,7.129,94.455,4093870080,2000,True,True,
pgvector_hnsw,120,10,0.941,166.7,11994.651,6.015,8.124,9.327,94.455,4093870080,2000,True,True,
pgvector_hnsw,200,10,0.9585,124.2,16108.239,8.016,11.313,12.828,94.455,4093870080,2000,True,True,
pgvector_hnsw,400,10,0.9737,69.2,28919.188,14.355,20.493,22.63,94.455,4093870080,2000,True,True,
pgcuvs_hnsw_import,16,10,0.8683,280.8,7123.665,3.462,4.684,5.631,53.586,8192008192,2000,False,True,
pgcuvs_hnsw_import,32,10,0.9408,200.2,9992.43,4.907,6.578,7.569,56.52,8192008192,2000,False,True,
pgcuvs_hnsw_import,64,10,0.9808,120.3,16621.768,8.288,10.432,11.844,56.52,8192008192,2000,True,True,
pgcuvs_hnsw_import,128,10,0.9948,67.5,29615.681,14.873,18.735,20.311,54.754,8192008192,2000,False,True,
pgcuvs_hnsw_import,256,10,0.9988,38.8,51554.049,25.577,33.747,37.315,54.212,8192008192,2000,False,True,
pgcuvs_hnsw_import,512,10,0.9996,21.7,92165.952,45.535,60.899,66.942,55.417,8192008192,2000,False,True,
