run_id,date,stage,phase,cell_id,config,system,system_version,system_commit,index_type,N,dim,k,recall_target,dataset,query_set_id,seed,clients,warm_state,build_s,qps,p50_us,p95_us,p99_us,p999_us,avg_latency_us,recall_at_k,peak_vram_mb,peak_rss_mb,cpu_core_s,gpu_s,energy_j,disk_bytes_written,wal_bytes,index_bytes_vram,index_bytes_host,index_bytes_disk,instance_type,price_usd_hr,usd_per_1m_queries,reps,agg_method,dispersion,gt_method,cost_model_version,runtime_routing_version,selectivity,correlation,filter_mode,stream_op,ops_done,delta_rows,params_json,notes
gha-27400662918-1,2026-06-12,B,explain,N1k_d1024_k10_r0.95,auto,auto,,,cagra,1000,1024,10,0.95,cohere-1m,,,1,warm,,,,,,,,,,,,,,,,,,,,,,,,,,v0,v0,,,,,,,"{""path"":""seqscan"",""est_startup"":42.1,""est_total"":42.1,""chosen"":""seqscan"",""N"":1000}",default chose seqscan
gha-27400662918-1,2026-06-12,B,explain,N1k_d1024_k10_r0.95,auto,auto,,,cagra,1000,1024,10,0.95,cohere-1m,,,1,warm,,,,,,,,,,,,,,,,,,,,,,,,,,v0,v0,,,,,,,"{""path"":""cuvs"",""est_startup"":1000.0,""est_total"":1001.0,""chosen"":""seqscan"",""N"":1000}",default chose seqscan
gha-27400662918-1,2026-06-12,B,explain,N10k_d1024_k10_r0.95,auto,auto,,,cagra,10000,1024,10,0.95,cohere-1m,,,1,warm,,,,,,,,,,,,,,,,,,,,,,,,,,v0,v0,,,,,,,"{""path"":""seqscan"",""est_startup"":469.1,""est_total"":469.1,""chosen"":""seqscan"",""N"":10000}",default chose seqscan
gha-27400662918-1,2026-06-12,B,explain,N10k_d1024_k10_r0.95,auto,auto,,,cagra,10000,1024,10,0.95,cohere-1m,,,1,warm,,,,,,,,,,,,,,,,,,,,,,,,,,v0,v0,,,,,,,"{""path"":""cuvs"",""est_startup"":1000.0,""est_total"":1000.7,""chosen"":""seqscan"",""N"":10000}",default chose seqscan
gha-27400662918-1,2026-06-12,B,explain,N18k_d1024_k10_r0.95,auto,auto,,,cagra,18000,1024,10,0.95,cohere-1m,,,1,warm,,,,,,,,,,,,,,,,,,,,,,,,,,v0,v0,,,,,,,"{""path"":""seqscan"",""est_startup"":806.0,""est_total"":806.0,""chosen"":""seqscan"",""N"":18000}",default chose seqscan
gha-27400662918-1,2026-06-12,B,explain,N18k_d1024_k10_r0.95,auto,auto,,,cagra,18000,1024,10,0.95,cohere-1m,,,1,warm,,,,,,,,,,,,,,,,,,,,,,,,,,v0,v0,,,,,,,"{""path"":""cuvs"",""est_startup"":1000.0,""est_total"":1000.6,""chosen"":""seqscan"",""N"":18000}",default chose seqscan
gha-27400662918-1,2026-06-12,B,explain,N32k_d1024_k10_r0.95,auto,auto,,,cagra,32000,1024,10,0.95,cohere-1m,,,1,warm,,,,,,,,,,,,,,,,,,,,,,,,,,v0,v0,,,,,,,"{""path"":""seqscan"",""est_startup"":1347.5,""est_total"":1347.5,""chosen"":""cuvs"",""N"":32000}",default chose cuvs
gha-27400662918-1,2026-06-12,B,explain,N32k_d1024_k10_r0.95,auto,auto,,,cagra,32000,1024,10,0.95,cohere-1m,,,1,warm,,,,,,,,,,,,,,,,,,,,,,,,,,v0,v0,,,,,,,"{""path"":""cuvs"",""est_startup"":1000.0,""est_total"":1000.5,""chosen"":""cuvs"",""N"":32000}",default chose cuvs
gha-27400662918-1,2026-06-12,B,explain,N100k_d1024_k10_r0.95,auto,auto,,,cagra,100000,1024,10,0.95,cohere-1m,,,1,warm,,,,,,,,,,,,,,,,,,,,,,,,,,v0,v0,,,,,,,"{""path"":""seqscan"",""est_startup"":4179.0,""est_total"":4179.0,""chosen"":""cuvs"",""N"":100000}",default chose cuvs
gha-27400662918-1,2026-06-12,B,explain,N100k_d1024_k10_r0.95,auto,auto,,,cagra,100000,1024,10,0.95,cohere-1m,,,1,warm,,,,,,,,,,,,,,,,,,,,,,,,,,v0,v0,,,,,,,"{""path"":""cuvs"",""est_startup"":1000.0,""est_total"":1000.4,""chosen"":""cuvs"",""N"":100000}",default chose cuvs
