run_id,date,stage,phase,cell_id,config,system,system_version,system_commit,index_type,N,dim,k,recall_target,dataset,query_set_id,seed,clients,warm_state,build_s,qps,p50_us,p95_us,p99_us,p999_us,avg_latency_us,recall_at_k,peak_vram_mb,peak_rss_mb,cpu_core_s,gpu_s,energy_j,disk_bytes_written,wal_bytes,index_bytes_vram,index_bytes_host,index_bytes_disk,instance_type,price_usd_hr,usd_per_1m_queries,reps,agg_method,dispersion,gt_method,cost_model_version,runtime_routing_version,selectivity,correlation,filter_mode,stream_op,ops_done,delta_rows,params_json,notes
gha-27405299527-1,2026-06-12,D,query,N1k_d1024_k10_r0.95,forced-hnsw,forced-hnsw,,,hnsw,1000,1024,10,0.95,cohere-1m,queries_10k.fbin,,1,warm,,1923.9,515.0,599.0,646.0,729.8,,,0.0,67.18359375,0.23,0.0,1356.792297842838,,,,,,,,,1,pgbench-25s,,exact-fbin,v0,v0,,,,,,,"{""knob"":20,""iso_recall_met"":true,""pgbench_txns"":48087,""clients"":1}",
gha-27405299527-1,2026-06-12,D,query,N1k_d1024_k10_r0.95,forced-hnsw,forced-hnsw,,,hnsw,1000,1024,10,0.95,cohere-1m,queries_10k.fbin,,4,warm,,7276.7,543.0,634.0,717.0,839.2,,,0.0,69.38671875,0.24,0.0,1351.3384330839908,,,,,,,,,1,pgbench-25s,,exact-fbin,v0,v0,,,,,,,"{""knob"":20,""iso_recall_met"":true,""pgbench_txns"":181828,""clients"":4}",
gha-27405299527-1,2026-06-12,D,query,N1k_d1024_k10_r0.95,forced-hnsw,forced-hnsw,,,hnsw,1000,1024,10,0.95,cohere-1m,queries_10k.fbin,,8,warm,,11828.3,680.0,795.0,847.0,1224.5,,,0.0,73.19140625,0.26,0.0,1348.9870253233555,,,,,,,,,1,pgbench-25s,,exact-fbin,v0,v0,,,,,,,"{""knob"":20,""iso_recall_met"":true,""pgbench_txns"":295476,""clients"":8}",
gha-27405299527-1,2026-06-12,D,query,N1k_d1024_k10_r0.95,forced-hnsw,forced-hnsw,,,hnsw,1000,1024,10,0.95,cohere-1m,queries_10k.fbin,,16,warm,,16652.1,731.0,1564.0,2168.0,4365.2,,,0.0,78.0078125,0.29,0.0,1351.5333527080604,,,,,,,,,1,pgbench-25s,,exact-fbin,v0,v0,,,,,,,"{""knob"":20,""iso_recall_met"":true,""pgbench_txns"":415800,""clients"":16}",
gha-27405299527-1,2026-06-12,D,query,N1k_d1024_k10_r0.95,forced-hnsw,forced-hnsw,,,hnsw,1000,1024,10,0.95,cohere-1m,queries_10k.fbin,,32,warm,,15982.6,1990.0,3598.0,5140.7,9954.9,,,0.0,80.921875,0.29,0.0,1354.1876024332514,,,,,,,,,1,pgbench-25s,,exact-fbin,v0,v0,,,,,,,"{""knob"":20,""iso_recall_met"":true,""pgbench_txns"":398531,""clients"":32}",
gha-27405299527-1,2026-06-12,D,query,N1k_d1024_k10_r0.95,forced-hnsw,forced-hnsw,,,hnsw,1000,1024,10,0.95,cohere-1m,queries_10k.fbin,,64,warm,,15246.0,3455.0,8978.0,25933.0,36931.0,,,0.0,86.58203125,0.3,0.0,1350.0675193483646,,,,,,,,,1,pgbench-25s,,exact-fbin,v0,v0,,,,,,,"{""knob"":20,""iso_recall_met"":true,""pgbench_txns"":379543,""clients"":64}",
gha-27405299527-1,2026-06-12,D,query,N1k_d1024_k10_r0.95,forced-cuvs,forced-cuvs,,,cagra,1000,1024,10,0.95,cohere-1m,queries_10k.fbin,,1,warm,,791.8,1252.0,1353.0,1417.0,1589.3,,,0.0,829.984375,16.71,9.865781787481904,1934.9549596838792,,,,,,,,,1,pgbench-25s,,exact-fbin,v0,v0,,,,,,,"{""knob"":50,""iso_recall_met"":true,""pgbench_txns"":19791,""clients"":1}",
gha-27405299527-1,2026-06-12,D,query,N1k_d1024_k10_r0.95,forced-cuvs,forced-cuvs,,,cagra,1000,1024,10,0.95,cohere-1m,queries_10k.fbin,,4,warm,,1355.9,2928.0,3072.0,3180.0,4576.1,,,0.0,831.0859375,29.33,16.828233916960674,2026.5144854967925,,,,,,,,,1,pgbench-25s,,exact-fbin,v0,v0,,,,,,,"{""knob"":50,""iso_recall_met"":true,""pgbench_txns"":33884,""clients"":4}",
gha-27405299527-1,2026-06-12,D,query,N1k_d1024_k10_r0.95,forced-cuvs,forced-cuvs,,,cagra,1000,1024,10,0.95,cohere-1m,queries_10k.fbin,,8,warm,,1351.1,5908.0,6117.0,10052.8,10727.2,,,0.0,832.8203125,29.6,16.759047403551516,2030.2781858866003,,,,,,,,,1,pgbench-25s,,exact-fbin,v0,v0,,,,,,,"{""knob"":50,""iso_recall_met"":true,""pgbench_txns"":33755,""clients"":8}",
gha-27405299527-1,2026-06-12,D,query,N1k_d1024_k10_r0.95,forced-cuvs,forced-cuvs,,,cagra,1000,1024,10,0.95,cohere-1m,queries_10k.fbin,,16,warm,,1342.6,11892.0,12295.0,22514.5,32645.7,,,0.0,834.76171875,29.76,16.662485679592937,2032.9658474658902,,,,,,,,,1,pgbench-25s,,exact-fbin,v0,v0,,,,,,,"{""knob"":50,""iso_recall_met"":true,""pgbench_txns"":33552,""clients"":16}",
